\ : means "define as".
\ \ is already defined as lineBreak. lineBreak can not be redefined.
blank:0
mainColor:-
backgroundColor:+
spawn:!
goal:?
endDefine:=   
newLayer:|
=
\					  FIRST LAYER											  SECOND LAYER
\123456789|123456789|123456789|123456789|123456789|1234   123456789|123456789|123456789|123456789|123456789|1234
 000000000000000000000000000000000000000000000000000000 | 000000000000000000000000000000000000000000000000000000
 000000000000000000000000000000000000000000000000000000 | 000000000000000000000000000000000000000000000000000000
 000000000000000000000000000000000000000000000000000000 | 000000000000000000000000000000000000000000000000000000
 000000000000000000000000000000000000000000000000000000 | 000000000000000000000000000000000000000000000000000000
 00000000000000-------000000000000-------00000000000000 | 000000000000000000000000000000000000000000000000000000
 00000000000000-00000-000000000000-00000-00000000000000 | 000000000000000000000000000000000000000000000000000000
 00000000000000-00!00-000000000000-00000-00000000000000 | 000000000000000000000000000000000000000000000000000000
 00000000000000-00000-000000000000-00?00-00000000000000 | 000000000000000000000000000000000000000000000000000000
 00000000000000-00000-000000000000-00000-00000000000000 | 000000000000000000000000000000000000000000000000000000
 00000000000000-------000000000000-------00000000000000 | 0000000000000000000000000000000000+++++000000000000000
 000000000000000000000000000000000000000000000000000000 | 000000000000000000000000000000000000000000000000000000
 000000000000000000000000000000000000000000000000000000 | 000000000000000000000000000000000000000000000000000000
 000000000000000000000000000000000000000000000000000000 | 000000000000000000000000000000000000000000000000000000
 000000000000000000000000000000000000000000000000000000 | 000000000000000000000000000000000000000000000000000000
 000000000000000000000000000000000000000000000000000000 | 000000000000000000000000000000000000000000000000000000
 000000000000000000000000000000000000000000000000000000 | 000000000000000000000000++++++000000000000000000000000
 000000000000000000000000000000000000000000000000000000 | 000000000000000000000000000000000000000000000000000000
 000000000000000000000000000000000000000000000000000000 | 000000000000000000000000000000000000000000000000000000
 000000000000000000000000000000000000000000000000000000 | 000000000000000000000000000000000000000000000000000000
 000000000000000000000000000000000000000000000000000000 | 000000000000000000000000000000000000000000000000000000
 000000000000000000000000------000000000000000000000000 | 000000000000000000000000000000000000000000000000000000
 000000000000000000000000000000000000000000000000000000 | 000000000000000000000000000000000000000000000000000000
 000000000000000000000000000000000000000000000000000000 | 000000000000000000000000000000000000000000000000000000
 000000000000000000000000000000000000000000000000000000 | 000000000000000000000000000000000000000000000000000000
 000000000000000000000000000000000000000000000000000000 | 000000000000000000000000000000000000000000000000000000
 000000000000000000000000000000000000000000000000000000 | 000000000000000000000000000000000000000000000000000000
 000000000000000000000000000000000000000000000000000000 | 00000000000++++++++++++++++++++++++++++++++00000000000
 000000000000000000000000000000000000000000000000000000 | 000000000000000000000000000000000000000000000000000000
 000000000000000000000000000000000000000000000000000000 | 000000000000000000000000000000000000000000000000000000
 000000000000000000000000000000000000000000000000000000 | 000000000000000000000000000000000000000000000000000000
 000000000000000000000000000000000000000000000000000000 | 000000000000000000000000000000000000000000000000000000
 000000000000000000000000000000000000000000000000000000 | 000000000000000000000000000000000000000000000000000000
 000000000000000000000000000000000000000000000000000000 | 000000000000000000000000000000000000000000000000000000
 000000000000000000000000000000000000000000000000000000 | 000000000000000000000000000000000000000000000000000000
 000000000000000000000000000000000000000000000000000000 | 000000000000000000000000000000000000000000000000000000
